ITEM,sponsor,root,HackMIT 2024 Sponsor,HackMIT 2024 Bronze Sponsor,HackMIT 2024 Silver Sponsor,HackMIT 2024 Gold Sponsor,HackMIT 2024 Platinum Sponsor,HackMIT 2024 Diamond Sponsor
ITEMPRICE,sponsor-price,sponsor,0,3000,9000,18000,22000,28000
SUBITEM,mentors,sponsor,Technical mentors at event,Y,Y,Y,Y,Y
SUBITEM,hackweek,sponsor,Hold HackWeek event,,,Y,Y,Y
SUBITEM,workshop30,sponsor,30 minute workshop,,,Y,,
SUBITEM,workshop45,sponsor,45 minute workshop,,,,Y,
SUBITEM,workshop60,sponsor,60 minute workshop,,,,,Y
SUBITEM,opening-slide,sponsor,Slide during Opening Ceremony,,,Y,,
SUBITEM,opening-speak-3min,sponsor,Priority & extra time at opening (3 min),,,,Y,
SUBITEM,opening-speak-5min,sponsor,Priority & extra time at opening (5 min),,,,,Y
SUBITEM,panel,sponsor,Seat at panel judging,,,,Y,Y
SUBITEM,mini-events,sponsor,Host mini events,,,,Y,Y
SUBITEM,material,sponsor,Distribute company material and swag,Y,Y,Y,Y,Y
SUBITEM,2reps,sponsor,2 Company representative,,Y,,,
SUBITEM,4reps,sponsor,4 Company representatives,,,Y,,
SUBITEM,6reps,sponsor,6 Company representatives,,,,Y,
SUBITEM,unlimited-reps,sponsor,Unlimited Company Representatives,,,,,Y
SUBITEM,booth,sponsor,Booth at event,,Y,Y,Y,Y
SUBITEM,coffee-fair-booth,sponsor,Career Fair Booth,,Y,Y,Y,Y
SUBITEM,challenge,sponsor,Sponsor a challenge,,Y,Y,Y,Y
SUBITEM,pub-challenge-1day,sponsor,Publicizing a challenge 1 day before,,Y,,,
SUBITEM,pub-challenge-2day,sponsor,Publicizing a challenge 2 days before,,,Y,,
SUBITEM,pub-challenge-5day,sponsor,Publicizing a challenge 5 days before,,,,Y,
SUBITEM,pub-challenge-customized,sponsor,Publicizing a challenge (customized timeline),,,,,Y
SUBITEM,skillsheets-after-event,sponsor,Access to hacker resumes & githubs after event,,Y,Y,,
SUBITEM,skillsheets-before-event,sponsor,Access to hacker resumes & githubs before event,,,,Y,Y
SUBITEM,hackmit-team-resumes,sponsor,Access to HackMIT Team resumes,,,Y,Y,Y
SUBITEM,contact-hackers,sponsor,Contact hackers after event,,,,,Y
SUBITEM,coffee-chats,sponsor,Coffee Chats with Hackers,,,,,Y
SUBITEM,publicity,sponsor,Newspaper/social media publicity,Y,Y,Y,Y,Y
SUBITEM,logo-on-website,sponsor,Company logo on website,Y,Y,Y,Y,Y
SUBITEM,logo-hoodies,sponsor,Logo on hoodies,Y,Y,Y,Y,Y
SUBITEM,community,sponsor,Community events,,,Y,Y,Y
SUBITEM,prestuffed,sponsor,Pre-stuffed swag in swag bags,,,Y,Y,Y
SUBITEM,emph-logo,sponsor,Emphasized logo placement,,,,,Y
SUBITEM,branding-phys-banners,sponsor,Branding on physical banners,,,,,Y
